scenario_factor,EC_mix_kgCO2e_m3,rho_d_kg_m3
0.8,1563.2320000000002,2200.0
0.8,1490.784,2120.0
0.8,1475.1808,2120.0
0.8,1196.8448000000003,1720.0
0.8,1209.5040000000001,1720.0
0.8,1336.0128000000002,1920.0
0.8,1336.0800000000002,1900.0
0.8,1391.6800000000003,2000.0
0.8,1391.6800000000003,2000.0
0.8,1203.8032,1730.0
0.8,1421.1200000000001,2000.0
0.8,1391.6800000000003,2000.0
0.8,1217.72,1750.0
0.8,1162.0528000000002,1670.0
0.8,1392.3360000000002,1980.0
0.8,1377.7632,1980.0
0.8,1307.9520000000002,1860.0
0.8,1120.3024,1610.0
0.8,1120.3024,1610.0
0.8,1384.7216,1990.0
0.8,1385.304,1970.0
0.8,1370.8048000000001,1970.0
0.8,1175.9696,1690.0
0.8,1454.3056,2090.0
0.8,1264.7968,1780.0
0.8,1364.2080000000003,1940.0
0.8,1349.9296000000002,1940.0
0.8,1475.1808,2120.0
0.8,1266.4288,1820.0
0.8,1363.8464000000001,1960.0
0.8,1350.1440000000002,1920.0
0.8,1182.928,1700.0
0.8,1570.3376,2210.0
0.8,1148.136,1650.0
0.8,1461.2640000000004,2100.0
0.8,1434.5280000000002,2040.0
0.8,1315.1376,1890.0
0.8,1322.096,1900.0
0.8,1496.056,2150.0
0.8,1336.0128000000002,1920.0
0.8,1342.9712,1930.0
0.8,1266.4288,1820.0
0.8,1294.2624,1860.0
0.8,1377.7632,1980.0
0.8,1370.8048000000001,1970.0
0.8,1182.928,1700.0
0.8,1002.0096,1440.0
0.8,1294.2624,1860.0
0.8,1224.6784,1760.0
0.8,1398.6383999999998,2009.9999999999998
0.8,1224.6784,1760.0
0.8,1057.6768,1520.0
0.8,1496.056,2150.0
0.8,1398.6383999999998,2009.9999999999998
0.8,1057.6768,1520.0
0.8,1078.5520000000001,1550.0
0.8,1301.2208,1870.0
0.8,1461.2640000000004,2100.0
0.8,1106.3855999999998,1590.0
0.8,1272.8000000000002,1720.0
0.8,1311.28,1772.0
0.8,931.7567854881231,1438.5321100917402
0.8,955.1055921960494,1438.5321100917402
0.8,979.9063299188974,1438.5321100917402
0.8,1006.2987757730816,1438.5321100917402
0.8,1034.4412434674844,1438.5321100917402
0.8,925.7949996719749,1438.5321100917402
0.8,950.0627473966525,1438.5321100917402
0.8,975.8999013444881,1438.5321100917402
0.8,1003.4637900859811,1438.5321100917402
0.8,1032.9334981809484,1438.5321100917402
0.8,921.1756426918846,1438.5321100917402
0.8,946.147543078249,1438.5321100917402
0.8,972.782690605352,1438.5321100917402
0.8,1001.25298001195,1438.5321100917402
0.8,1031.7548379932093,1438.5321100917402
0.8,913.1572496313754,1438.5321100917402
0.8,939.3350649625748,1438.5321100917402
0.8,967.344779943821,1438.5321100917402
0.8,997.3856587383452,1438.5321100917402
0.8,905.2781068388355,1438.5321100917402
0.8,932.6205800254314,1438.5321100917402
0.8,961.9676855123379,1438.5321100917402
0.8,993.54826878369,1438.5321100917402
0.8,1027.6273860687527,1438.5321100917402
0.8,918.3405737083199,1438.5321100917402
0.8,943.7412276553459,1438.5321100917402
0.8,970.8639286197737,1438.5321100917402
0.8,999.8899413075368,1438.5321100917402
0.8,1031.0268956872899,1438.5321100917402
0.8,909.13894921397,1438.5321100917402
0.8,935.913252698409,1438.5321100917402
0.8,964.6066882627407,1438.5321100917402
0.8,995.4332655176358,1438.5321100917402
0.8,1112.9116893861374,1558.4097859327198
0.8,969.4692480856521,1558.4097859327198
0.8,1000.695382690032,1558.4097859327198
0.8,1034.3602463914708,1558.4097859327198
0.8,1070.7611420785063,1558.4097859327198
0.8,1110.245744751514,1558.4097859327198
0.8,1004.6638225115329,1558.4097859327198
0.8,1030.6701238300927,1558.4097859327198
0.8,1058.3503327499652,1558.4097859327198
0.8,1087.8714361182917,1558.4097859327198
0.8,1119.4233959613935,1558.4097859327198
0.8,998.0253151241051,1558.4097859327198
0.8,1025.0445382225646,1558.4097859327198
0.8,1053.872133061599,1558.4097859327198
0.8,1084.6959344309998,1558.4097859327198
0.8,1117.7307238603528,1558.4097859327198
0.8,992.8835516265756,1558.4097859327198
0.8,1020.6783009195406,1558.4097859327198
0.8,1050.388753192574,1558.4097859327198
0.8,1082.2200318881187,1558.4097859327198
0.8,1116.4076290785263,1558.4097859327198
0.8,983.962363860418,1558.4097859327198
0.8,1013.0839383966442,1558.4097859327198
0.8,1044.3139388844,1558.4097859327198
0.8,1077.8899434079422,1558.4097859327198
0.8,1114.086616864769,1558.4097859327198
0.8,975.2010593836397,1558.4097859327198
0.8,1005.6024372043985,1558.4097859327198
0.8,1038.3094013182667,1558.4097859327198
0.8,1073.5945663601508,1558.4097859327198
0.8,1111.7752893645354,1558.4097859327198
0.8,989.7286993201018,1558.4097859327198
0.8,1017.9953840274572,1558.4097859327198
0.8,1048.2449888084425,1558.4097859327198
0.8,1080.6937523228235,1558.4097859327198
0.8,1115.5905405183646,1558.4097859327198
0.8,979.4935545581468,1558.4097859327198
0.8,1009.2707929534389,1558.4097859327198
0.8,1041.2560540191714,1558.4097859327198
0.8,1075.704385649134,1558.4097859327198
0.8,1112.9116893861374,1558.4097859327198
0.8,969.4692480856521,1558.4097859327198
0.8,1000.695382690032,1558.4097859327198
0.8,1034.3602463914708,1558.4097859327198
0.8,1070.7611420785063,1558.4097859327198
0.8,1110.245744751514,1558.4097859327198
0.8,1088.1449000613077,1688.27726809378
0.8,1116.354359634913,1688.27726809378
0.8,1146.382427243194,1688.27726809378
0.8,1178.4108235640963,1688.27726809378
0.8,1212.6463142184682,1688.27726809378
0.8,1080.944094402707,1688.27726809378
0.8,1110.2517466419192,1688.27726809378
0.8,1141.5240452347466,1688.27726809378
0.8,1174.9653921469862,1688.27726809378
0.8,1210.809562675108,1688.27726809378
0.8,1075.3669091067745,1688.27726809378
0.8,1105.5153410135101,1688.27726809378
0.8,1137.7449850747055,1688.27726809378
0.8,1172.2790515735992,1688.27726809378
0.8,1209.3738533207568,1688.27726809378
0.8,1065.6904492179544,1688.27726809378
0.8,1097.2772791181167,1688.27726809378
0.8,1131.1546167292765,1688.27726809378
0.8,1167.5809781791681,1688.27726809378
0.8,1206.8553033169865,1688.27726809378
0.8,1056.187660333057,1688.27726809378
0.8,1089.1618290488827,1688.27726809378
0.8,1124.6406084978419,1688.27726809378
0.8,1162.9206272948197,1688.27726809378
0.8,1204.3472800534043,1688.27726809378
0.8,1071.9449358775116,1688.27726809378
0.8,1102.6049981222159,1688.27726809378
0.8,1135.4192710149605,1688.27726809378
0.8,1170.6230567702212,1688.27726809378
0.8,1208.487221566192,1688.27726809378
0.8,1060.8434056346237,1688.27726809378
0.8,1093.1410019591367,1688.27726809378
0.8,1127.8372628362083,1688.27726809378
0.8,1165.209708176279,1688.27726809378
0.8,1205.5803863817678,1688.27726809378
0.8,1049.970890971785,1688.27726809378
0.8,1083.8390720878263,1688.27726809378
0.8,1120.3564417916302,1688.27726809378
